iter	RMSE
0	91.16647202
1	90.61106017
2	90.08411186
3	89.58371759
4	89.14086053
5	88.73446745
6	88.36309748
7	88.02291811
8	87.72434491
9	87.44317237
10	87.24656842
11	86.99966532
12	86.85614077
13	86.61101975
14	86.43509636
15	86.22260892
16	86.03753774
17	85.8607496
18	85.64347387
19	85.52994851
20	85.36761538
21	85.188316
22	84.95827768
23	84.78086655
24	84.67227026
25	84.52901368
26	84.37574237
27	84.22399668
28	84.09355795
29	84.00447655
30	83.90566832
31	83.80871832
32	83.71360979
33	83.6464109
34	83.53504624
35	83.40708813
36	83.29212765
37	83.24289487
38	83.15426853
39	83.06277011
40	82.98201845
41	82.91087842
42	82.82149262
43	82.74052711
44	82.68146329
45	82.63281418
46	82.54630612
47	82.49795411
48	82.42501126
49	82.34021964
50	82.28703692
51	82.18190521
52	82.09316327
53	81.99124456
54	81.89383048
55	81.83817915
56	81.81308199
57	81.65944614
58	81.58405293
59	81.52102601
60	81.52102264
61	81.44796251
62	81.35371212
63	81.31111295
64	81.30650943
65	81.27981564
66	81.193466
67	81.11480031
68	81.07264123
69	81.00128263
70	80.93474996
71	80.85397834
72	80.75100708
73	80.69545687
74	80.65314339
75	80.64483623
76	80.6044946
77	80.56022784
78	80.48807758
79	80.41501906
80	80.36507788
81	80.34126206
82	80.24052687
83	80.18756354
84	80.15493162
85	80.14242714
86	80.07354679
87	79.99845082
88	79.96737535
89	79.9332503
90	79.86457744
91	79.81185377
92	79.77573084
93	79.70131121
94	79.66261278
95	79.58188626
96	79.50584174
97	79.43720568
98	79.42997688
99	79.36112297
100	79.31039472
101	79.23680301
102	79.22347193
103	79.12299313
104	79.02591698
105	78.93990365
106	78.83949801
107	78.77476461
108	78.74675348
109	78.71646786
110	78.68489866
111	78.62457882
112	78.59195022
113	78.59171371
114	78.5280731
115	78.49608166
116	78.43555158
117	78.42261539
118	78.38984989
119	78.3482159
120	78.28767669
121	78.24650537
122	78.21523462
123	78.18936674
124	78.16827838
125	78.10795055
126	78.06644912
127	78.04689857
128	78.00937802
129	77.95741018
130	77.90131427
131	77.8827466
132	77.84163716
133	77.77354884
134	77.72407913
135	77.66622993
136	77.64295541
137	77.62278385
138	77.61798711
139	77.57833584
140	77.52984149
141	77.47856586
142	77.39867057
143	77.32609118
144	77.28803527
145	77.25429576
146	77.22935923
147	77.20553158
148	77.14988163
149	77.10158249
150	77.04531671
151	77.02475854
152	76.95185389
153	76.87405881
154	76.84395086
155	76.83373436
156	76.79125738
157	76.73664678
158	76.65728212
159	76.59732786
160	76.52838408
161	76.46189607
162	76.40400016
163	76.32433537
164	76.27178214
165	76.24306617
166	76.21466563
167	76.16788047
168	76.10223284
169	76.03190263
170	75.95485363
171	75.9381168
172	75.87090749
173	75.84425565
174	75.7836273
175	75.75279463
176	75.73364081
177	75.70843175
178	75.67073627
179	75.62605916
180	75.58777456
181	75.53982943
182	75.48796367
183	75.4698025
184	75.43824095
185	75.40111076
186	75.35736338
187	75.29838911
188	75.23501521
189	75.19292442
190	75.18291428
191	75.14444136
192	75.14444105
193	75.10166205
194	75.0722659
195	75.03816814
196	74.99007779
197	74.92675224
198	74.92330824
199	74.87132543
200	74.81572554
201	74.7909252
202	74.76587997
203	74.72800964
204	74.66383659
205	74.61820467
206	74.58766736
207	74.58766732
208	74.53097536
209	74.53097531
210	74.45127313
211	74.4251015
212	74.38632945
213	74.33086086
214	74.27477483
215	74.23785457
216	74.18491707
217	74.12999922
218	74.07628444
